formattedTitle, collected, releaseDate, releaseMSRP, dateCollected, collectedPrice,notes
BRAHMA Force: The Assault on Beltlogger 9,FALSE,,,,,
Brain Dead 13,FALSE,,,,,
Bratz Dress Up & Get Down,FALSE,,,,,
Brave Fencer Musashi,FALSE,,,,,
Bravo Air Race,FALSE,,,,,
Breakout,FALSE,,,,,
Breath of Fire III,FALSE,,,,,
Breath of Fire IV,FALSE,,,,,
Brigandine: Legend of Forsena,FALSE,,,,,
Broken Helix,FALSE,,,,,
Broken Sword: The Shadow of the Templars,FALSE,,,,,
Broken Sword 2 : The Smoking Mirror,TRUE,,,7/31/2024,19.99,
Brunswick Circuit Pro Bowling,FALSE,,,,,
Brunswick Circuit Pro Bowling 2,FALSE,,,,,
Bubble Bobble Featuring Rainbow,TRUE,,,12/27/2023,0,
Bubsy 3D,TRUE,,,7/25/2023,20,
Bug Riders,FALSE,,,,,
A Bug's Life,FALSE,,,,,
Bugs Bunny: Lost in Time,TRUE,,,8/5/2023,34,
Bugs Bunny & Taz: Time Busters,TRUE,,,8/5/2023,34,
Builder's Block,FALSE,,,,,
Burning Road,FALSE,,,,,
Burstrick Wake Boarding!!,TRUE,,,7/25/2023,4,
Bushido Blade,FALSE,,,,,
Bushido Blade 2,FALSE,,,,,
Bust a Groove,FALSE,,,,,
Bust a Groove 2,FALSE,,,,,
Bust-A-Move 2 - Arcade Edition,FALSE,,,,,
Bust-A-Move 3,FALSE,,,,,
Bust-A-Move 4,FALSE,,,,,
Bust-A-Move '99,FALSE,,,,,
Buster Bros. Collection,FALSE,,,,,
Buzz Lightyear of Star Command,FALSE,,,,,
C-12: Final Resistance,FALSE,,,,,
Cabela's Big Game Hunter: Ultimate Challenge,FALSE,,,,,
Cabela's Ultimate Deer Hunt: Open Season,FALSE,,,,,
Caesars Palace,FALSE,,,,,
Caesar's Palace II,FALSE,,,,,
Caesar's Palace 2000,TRUE,,,7/25/2023,7,
Calamity Adventure,FALSE,,,,,
Cali's Geo Tools,FALSE,,,,,
Capcom VS SNK: Pro,FALSE,,,,,
Car & Driver Presents: Grand Tour Racing '98,TRUE,,,8/11/2023,0.01,
Card Games,FALSE,,,,,
Cardinal Syn,FALSE,,,,,
Carnage Heart,FALSE,,,,,
CART World Series,FALSE,,,,,
Casper,FALSE,,,,,
Casper - Friends Around the World,FALSE,,,,,
Castlevania Chronicles,FALSE,,,,,
Castlevania: Symphony of the Night,FALSE,,,,,
Castrol Honda Superbike Racing,FALSE,,,,,
The Cat in the Hat,TRUE,,,8/7/2023,10,
Celebrity Deathmatch,FALSE,,,,,
Centipede,TRUE,,,7/25/2023,7,
Championship Bass,TRUE,,,8/4/2023,4,
Championship Manager Quiz,FALSE,,,,,
Championship Motocross Featuring Ricky Carmichael,TRUE,,,8/4/2023,7,
Championship Motocross 2001 Featuring Ricky Carmichael,FALSE,,,,,
Championship Surfer,FALSE,,,,,
Chase the Express,FALSE,,,,,
Chess,FALSE,,,,,
Chessmaster II,FALSE,,,,,
Chessmaster 3D,FALSE,,,,,
Chicken Run,FALSE,,,,,
Chocobo Racing,FALSE,,,,,
Chocobo's Mysterious Dungeon 2,FALSE,,,,,
Chronicles of the Sword,FALSE,,,,,
Chrono Cross,FALSE,,,,,
The City of Lost Children,FALSE,,,,,
Civilization II,TRUE,,,7/25/2023,20,
Cleopatra's Fortune,FALSE,,,,,
Circuit Breakers,FALSE,,,,,
Clock Tower,FALSE,,,,,
Clock Tower: The First Fear,FALSE,,,,,
Clock Tower II: The Struggle Within,FALSE,,,,,
Codename: Tenka,TRUE,,,8/11/2023,7,
Colin Mcrae Rally 2.0,FALSE,,,,,
Colin Mcrae Rally,FALSE,,,,,
College Slam,FALSE,,,,,
Colony Wars,TRUE,,,7/26/2023,16,
Colony Wars Vengeance,TRUE,,,7/26/2023,16,
Colony Wars: Red Sun,TRUE,,,7/26/2023,16,
Command & Conquer,TRUE,,,8/4/2023,10,
Command & Conquer: Red Alert,FALSE,,,,,
Command & Conquer Red Alert: Retaliation,FALSE,,,,,
Contender,FALSE,,,,,
Contender 2,TRUE,,,7/25/2023,4,
The Contra Adventure,FALSE,,,,,
Contra: Legacy of War,TRUE,,,7/26/2023,16,
Cool Boarders,FALSE,,,,,
Cool Boarders 2,FALSE,,,,,
Cool Boarders 2001,TRUE,,,8/4/2023,0.01,
Cool Boarders 3,FALSE,,,,,
Cool Boarders 4,TRUE,,,8/4/2023,0.01,
Cosmic Cookoff: Language Arts,FALSE,,,,,
Cosmic Cookoff: Mathematics,FALSE,,,,,
Countdown Vampires,FALSE,,,,,
Courier Crisis,FALSE,,,,,
Covert Ops: Nuclear Dawn,FALSE,,,,,
Crash Bandicoot,FALSE,,,,,
Crash Bandicoot 2: Cortex Strikes Back,TRUE,,,8/15/2023,10,
Crash Bandicoot 3: Warped,FALSE,,,,,
Crash Team Racing,FALSE,,,,,
Crash Bash,FALSE,,,,,
Creative Camp,FALSE,,,,,
Creatures,FALSE,,,,,
Creatures 3: Raised in Space,FALSE,,,,,
Crime Killer,FALSE,,,,,
Critical Depth,FALSE,,,,,
Criticom,FALSE,,,,,
Croc: Legend of the Gobbos,FALSE,,,,,
Croc 2,FALSE,,,,,
Crossroad Crisis,FALSE,,,,,
The Crow: City of Angels,FALSE,,,,,
Crusader: No Remorse,FALSE,,,,,
Crusaders of Might and Magic,FALSE,,,,,
Crypt Killer,FALSE,,,,,
CT Special Forces,FALSE,,,,,
Cubix Robots for Everyone: Race 'N Robots,TRUE,,,7/25/2023,4,
Cyberia,TRUE,,,8/5/2023,8.5,
Cybersled,FALSE,,,,,
Cyberspeed,FALSE,,,,,
Cybertiger,TRUE,,,8/7/2023,4,
D,FALSE,,,,,
Dance Dance Revolution,FALSE,,,,,
Dance Dance Revolution Disney Mix,FALSE,,,,,
Dance Dance Revolution Konamix,FALSE,,,,,
Danger Girl,FALSE,,,,,
Dare Devil Derby 3D,FALSE,,,,,
Darklight Conflict,FALSE,,,,,
Darkstalkers,FALSE,,,,,
Darkstalkers 3,FALSE,,,,,
Darkstone,TRUE,,,7/25/2023,7,
Dave Mirra Freestyle BMX,FALSE,,,,,
Dave Mirra Freestyle BMX: Maximum Remix,FALSE,,,,,
David Beckham Soccer,FALSE,,,,,
Dead Ball Zone,FALSE,,,,,
Dead in the Water,FALSE,,,,,
Dead or Alive,FALSE,,,,,
Deathtrap Dungeon,FALSE,,,,,
Deception 3: Dark Delusion,FALSE,,,,,
Defcon 5,FALSE,,,,,
Delta Force: Urban Warfare,FALSE,,,,,
Demolition Racer,FALSE,,,,,
Descent,FALSE,,,,,
Descent II,FALSE,,,,,
Destrega,FALSE,,,,,
Destruction Derby,FALSE,,,,,
Destruction Derby 2,FALSE,,,,,
Destruction Derby Raw,FALSE,,,,,
Detective Barbie: Mystery Cruise,FALSE,,,,,
Devil Dice,FALSE,,,,,
Dexter's Laboratory: Mandark's Lab?,TRUE,,,7/25/2023,8,
Diablo,FALSE,,,,,
Die Hard Trilogy,TRUE,,,7/26/2023,16,
Die Hard Trilogy 2 : Viva Las Vegas,TRUE,,,7/26/2023,16,
Digimon Digital Card Battle,FALSE,,,,,
Digimon Rumble Arena,FALSE,,,,,
Digimon World,FALSE,,,,,
Digimon World 2,TRUE,,,,,Owned since childhood
Digimon World 3,TRUE,,,4/22/2024,60.99,
Dino Crisis,FALSE,,,,,
Dino Crisis 2,FALSE,,,,,
Dirt Jockey,FALSE,,,,,
Discworld II,FALSE,,,,,
Discworld,FALSE,,,,,
Disney's Aladdin in Nasira's Revenge,FALSE,,,,,
Disney's Dinosaur,FALSE,,,,,
Disney's Donald Duck: Goin' Quackers,FALSE,,,,,
Disney's Hercules,FALSE,,,,,
Disney's Lilo & Stitch,FALSE,,,,,
Disney's Peter Pan in Return to Neverland,TRUE,,,8/15/2023,10,
Disney's Pooh's Party Game: In Search of the Treasure,FALSE,,,,,
Disney's Story Studio - Mulan,FALSE,,,,,
Disney's the Little Mermaid II,FALSE,,,,,
Disney's Tarzan,TRUE,,,9/26/2023,0,
Disruptor,FALSE,,,,,
The Divide: Enemies Within,FALSE,,,,,
Doom,FALSE,,,,,
Dora the Explorer: Barnyard Buddies,FALSE,,,,,
Dracula 2: The Last Sanctuary,FALSE,,,,,
Dracula: The Resurrection,TRUE,,,7/26/2023,16,
Dragon Ball GT: Final Bout,FALSE,,,,,
Dragon Ball Z: Ultimate Battle 22,FALSE,,,,,
Dragonheart: Fire & Steel,FALSE,,,,,
Dragon Quest VII: Fragments of the Forgotten Past,FALSE,,,,,
Dragonseeds,FALSE,,,,,
Dragon Tales: Dragon Seek,FALSE,,,,,
Dragon Valor,FALSE,,,,,
Driver,TRUE,,,7/25/2023,3.5,
Driver 2,TRUE,,,7/26/2023,16,
Ducati World Racing Challenge,FALSE,,,,,
Duke Nukem: Total Meltdown,TRUE,,,12/27/2023,19.99,
Duke Nukem: Land of the Babes,TRUE,,,12/27/2023,19.99,
Duke Nukem: Time to Kill,TRUE,,,7/26/2023,16,
The Dukes of Hazzard : Racing for Home,FALSE,,,,,
The Dukes of Hazzard II: Daisy Dukes It Out,TRUE,,,7/25/2023,20,
Dune 2000,TRUE,,,7/31/2024,24.99,
Dynasty Warriors,FALSE,,,,,
Eagle One: Harrier Attack,FALSE,,,,,
Easter Bunny's Big Day,FALSE,,,,,
Echo Night,FALSE,,,,,
ECW Anarchy Rulz,FALSE,,,,,
ECW Hardcore Revolution,FALSE,,,,,
Eggs of Steel: Charlie's Eggcellent Adventure,FALSE,,,,,
Ehrgeiz: God Bless the Ring,FALSE,,,,,
Einhänder,FALSE,,,,,
Elemental Gearbolt,FALSE,,,,,
Eliminator,FALSE,,,,,
The Emperor's New Groove,FALSE,,,,,
Epidemic,FALSE,,,,,
Equestrian Showcase,FALSE,,,,,
ESPN Extreme Games,FALSE,,,,,
ESPN MLS Gamenight,FALSE,,,,,
ESPN X-Games Pro Boarder,TRUE,,,7/25/2023,3.5,
E.T. the Extra-Terrestrial: Interplanetary Mission,FALSE,,,,,
Eternal Eyes,FALSE,,,,,
Evil Dead: Hail to the King,FALSE,,,,,
Evil Zone,FALSE,,,,,
Excalibur 2555 A.D.,FALSE,,,,,
Expendable,FALSE,,,,,
Extreme Pinball,FALSE,,,,,
F1 2000,FALSE,,,,,
F1 Championship Season 2000,FALSE,,,,,
F1 Racing Championship,FALSE,,,,,
F1 World Grand Prix,FALSE,,,,,
Fade to Black,FALSE,,,,,
Family Card Game Fun Pack,TRUE,,,8/11/2023,6,
Family Feud,FALSE,,,,,
